UUID,date,Latitude,Longitude,Altitude,Velocity,Dist
Orni17499-163,2018-08-16,68.95635086444307,169.40856970618344,1.0486111111111112,17.723765432098762,207.21786723207788
Orni17499-163,2018-09-28,69.50682174295106,164.3541482521457,61.422680412371136,17.29381443298969,208.4077686397822
Orni17499-163,2018-10-03,62.60916846166528,149.90756565062793,441.8541666666667,17.71026234567901,1001.5208097815413
Orni17499-163,2018-10-04,54.29327260708398,139.53510345556163,47.826388888888886,17.459490740740744,1101.2567917382228
Orni17499-163,2018-10-05,52.44824687833189,130.7712397200724,499.0486111111111,16.20177469135802,616.0559873454455
Orni17499-163,2018-10-06,49.59163825920799,125.0994752414399,441.5769230769231,18.445512820512814,507.9621303391556
Orni17499-163,2018-10-07,46.81086553805415,122.60074778951684,232.6153846153846,18.162393162393155,360.3738610165717
Orni17499-163,2018-11-20,39.677322264117976,120.33650050848848,540.4225352112676,15.383411580594672,814.0414082406849
Orni17499-163,2018-11-21,31.22066641999859,116.76390418535021,199.93055555555554,18.72492283950618,994.2184826249716
Orni17499-163,2018-11-22,29.513870441422952,116.11089852267288,9.23076923076923,19.660062160062168,199.85847220952897
Orni17499-163,2019-01-23,31.438647843609708,118.80020682423911,12.645833333333334,15.578703703703708,334.98027866840766
Orni17499-163,2019-02-26,34.83509354499861,119.72047906035012,183.4375,18.296682098765427,387.2598028870327
Orni17499-163,2019-02-27,42.46556831515207,122.74274853164974,283.5763888888889,18.850308641975303,887.9639846494824
Orni17499-163,2019-02-28,46.75678997555414,123.77542801868354,154.59027777777777,17.368827160493822,484.1008223427633
Orni17499-163,2019-03-22,48.41811774638747,126.34384747701685,298.99305555555554,18.966049382716037,266.8598607606835
Orni17499-163,2019-03-25,49.39054209360972,129.01523953257234,114.16666666666667,18.439429012345677,223.17526820802007
Orni17499-164,2017-08-08,68.87611947868535,169.40893904292093,16.4375,17.457561728395067,3060.6979970684015
Orni17499-164,2017-09-18,66.59432641414405,160.47333314607718,345.7986111111111,17.91859567901234,453.31953441042475
Orni17499-164,2017-09-19,61.047414478345125,148.1603420638256,506.006993006993,18.663558663558664,860.4312382287586
Orni17499-164,2017-09-20,60.31689765467505,146.91492621027933,265.84722222222223,18.45871913580248,105.80912649123607
Orni17499-164,2017-10-02,53.21372676996897,136.930855018762,225.6344827586207,18.607279693486593,994.7945202077973
Orni17499-164,2017-10-03,47.59639940373613,134.04348603111256,446.1929824561403,19.34941520467836,657.1418875185315
Orni17499-164,2017-10-04,42.64256342001364,130.6597427621398,36.23931623931624,19.57027540360873,611.3328781289296
Orni17499-164,2017-10-17,41.714179327894556,129.76073127246732,322.0833333333333,17.756558641975314,127.05975515781296
Orni17499-164,2017-10-18,37.66828481105567,126.66060103234486,72.875,18.991126543209866,522.1694377349316
Orni17499-164,2017-10-19,36.662904207053465,126.38028049392993,0.5069444444444444,18.31018518518519,114.51931342874838
Orni17499-164,2017-11-29,34.40234307830818,120.94097986928513,27.75,17.903163580246925,552.5383780996018
Orni17499-164,2018-02-27,37.38655212281078,119.29981469834775,46.09722222222222,18.618827160493833,363.2522115771521
Orni17499-164,2018-03-01,39.22571886375281,119.49295641151197,185.20833333333334,18.39891975308644,205.19905653253625
Orni17499-164,2018-03-02,43.64253771701366,120.26269575631876,524.9027777777778,17.148919753086425,495.2952689623263
Orni17499-164,2018-03-17,44.77302684986393,122.50241005734529,359.13194444444446,18.009259259259267,218.32285114860667
Orni17499-164,2018-03-18,45.834329808197246,124.81478948095645,133.9375,18.7307098765432,215.93254116575042
Orni17499-164,2018-03-21,47.70033059986392,123.42100208512316,186.97222222222223,17.037037037037038,233.05932665316146
Orni17499-164,2018-03-24,48.71470384291948,124.75504602956754,256.7916666666667,17.125771604938265,149.97926661941182
Orni17499-164,2018-03-27,48.60921551847307,126.68837232827586,288.1666666666667,16.7843364197531,142.47154934902306
Orni17499-164,2018-04-04,47.430598641530594,132.16441535595644,81.76388888888889,17.831790123456788,427.73465767912734
Orni17499-164,2018-04-29,49.73831557903058,136.17037148790095,16.78472222222222,19.36921296296296,390.63849012607153
Orni17499-164,2018-05-01,51.893938085975016,139.76290625873415,88.50694444444444,18.22916666666666,347.9948328267066
Orni17499-164,2018-05-02,56.38754090298638,144.74702951866934,4.930555555555555,16.944444444444443,595.5316533345332
Orni17499-164,2018-05-03,62.95266146097501,151.35429977262314,446.50694444444446,19.08950617283951,817.9068537960044
Orni17499-164,2018-05-04,64.72156081514166,151.650716286512,82.08333333333333,16.892361111111118,197.22822094570145
Orni17499-164,2018-05-07,67.57369304994161,158.19751527233169,49.041666666666664,16.161265432098762,432.2807084940459
Orni17499-164,2018-05-13,67.48207329469686,152.9313676149891,32.65277777777778,17.43248456790124,223.98829887881757
Orni17499-164,2018-05-14,66.16032331567591,150.56790088072339,27.72222222222222,18.688271604938283,179.69752241218242
Orni17499-164,2018-05-29,68.24261674569725,151.7874578073454,32.291666666666664,18.30246913580247,237.4166032933144
Orni17499-164,2018-06-05,68.98029397486397,157.73204943928982,30.09027777777778,18.45100308641975,254.5156758164391
Orni17499-164,2018-06-06,68.98404749569725,167.5284221406787,181.58333333333334,16.998456790123463,390.27465822873137
Orni17499-164,2018-06-21,69.52878657208616,164.16320353651201,41.40277777777778,16.42361111111111,145.6954338883027
Orni17499-164,2018-06-24,69.73290658407655,159.6697789114122,32.86805555555556,17.418981481481488,175.34442038791192
Orni17499-164,2018-06-28,69.60317023180838,164.4666637934565,-0.5902777777777778,18.53395061728396,185.84304269955652
Orni17499-164,2018-08-16,68.95623569014167,169.4082013559564,1.0486111111111112,19.04128086419755,207.218836023614
Orni17499-164,2018-09-28,69.50670656864973,164.3537799019186,61.422680412371136,17.153493699885452,208.40877830529024
Orni17499-164,2018-10-03,62.60905328736391,149.90719730040098,441.8541666666667,17.881944444444446,1001.5227285027628
Orni17499-164,2018-10-04,54.29315743278266,139.5347351053346,47.826388888888886,16.98109567901234,1101.2578768726946
Orni17499-164,2018-10-05,52.44813170403059,130.77087136984528,499.0486111111111,16.498842592592602,616.0574704244648
Orni17499-164,2018-10-06,49.59152308490666,125.09910689121283,441.5769230769231,17.3076923076923,507.9629002197593
Orni17499-164,2018-10-07,46.81075036375281,122.60037943928978,232.6153846153846,19.807692307692317,360.37407506054046
Orni17499-164,2018-11-20,39.67720708981666,120.33613215826139,540.4225352112676,14.741784037558693,814.041486562649
Orni17499-164,2018-11-21,31.22055124569725,116.76353583512306,199.93055555555554,17.496141975308642,994.218633941066
Orni17499-164,2018-11-22,29.513755267121592,116.11053017244576,9.23076923076923,17.748640248640257,199.85849534338692
Orni17499-164,2019-01-23,31.43853266930835,118.79983847401192,12.645833333333334,18.27353395061728,334.9805132933372
Orni17499-164,2019-02-26,34.83497837069724,119.72011071012305,183.4375,19.060570987654316,387.25982778185056
Orni17499-164,2019-02-27,42.46545314085071,122.74238018142266,283.5763888888889,17.212577160493826,887.9641097311784
Orni17499-164,2019-02-28,46.75667480125281,123.77505966845644,154.59027777777777,17.94753086419753,484.10084974174515
Orni17499-164,2019-03-22,48.41800257208617,126.34347912678976,298.99305555555554,18.22337962962964,266.86016674689677
Orni17499-164,2019-03-25,49.39042691930836,129.01487118234544,114.16666666666667,17.758487654320987,223.17566190866827
Orni17499-165,2017-08-08,68.8750440197195,169.4106290623447,16.4375,18.16743827160494,3060.735479176979
Orni17499-165,2017-09-18,66.59325095517818,160.47502316550083,345.7986111111111,18.373842592592606,453.3338507475859
Orni17499-165,2017-09-19,61.04633901937923,148.16203208324936,506.006993006993,17.904040404040416,860.4474158054651
Orni17499-165,2017-09-20,60.31582219570915,146.91661622970298,265.84722222222223,18.54359567901234,105.81057899090862
Orni17499-165,2017-10-02,53.212651311003064,136.93254503818565,225.6344827586207,18.611111111111125,994.8051974257894
Orni17499-165,2017-10-03,47.59532394477012,134.04517605053613,446.1929824561403,16.920077972709556,657.1433358233298
Orni17499-165,2017-10-04,42.6414879610476,130.66143278156335,36.23931623931624,15.96866096866097,611.3350541552204
Orni17499-165,2017-10-17,41.713103868928584,129.76242129189097,322.0833333333333,16.869212962962962,127.0604897418616
Orni17499-165,2017-10-18,37.66720935208966,126.66229105176843,72.875,18.315972222222225,522.1715387909499
Orni17499-165,2017-10-19,36.66182874808746,126.38197051335364,0.5069444444444444,17.25308641975309,114.51939009707161
Orni17499-165,2017-11-29,34.40126761934213,120.94266988870874,27.75,17.056327160493833,552.5442582461985
Orni17499-165,2018-02-27,37.38547666384476,119.3015047177715,46.09722222222222,18.559027777777786,363.2530292754427
Orni17499-165,2018-03-01,39.22464340478681,119.49464643093567,185.20833333333334,17.347608024691358,205.19907705812565
Orni17499-165,2018-03-02,43.64146225804768,120.26438577574244,524.9027777777778,18.06520061728396,495.2954068391397
Orni17499-165,2018-03-17,44.77195139089788,122.50410007676913,359.13194444444446,18.190586419753078,218.32551652140134
Orni17499-165,2018-03-18,45.83325434923123,124.81647950038031,133.9375,17.38811728395062,215.9354146462743
Orni17499-165,2018-03-21,47.69925514089791,123.42269210454687,186.97222222222223,17.68711419753087,233.06029222778858
Orni17499-165,2018-03-24,48.713628383953484,124.75673604899121,256.7916666666667,18.337191358024697,149.98063501546292
Orni17499-165,2018-03-27,48.60814005950708,126.69006234769948,288.1666666666667,16.29243827160495,142.47456879289388
Orni17499-165,2018-04-04,47.429523182564566,132.16610537538008,81.76388888888889,17.658179012345684,427.74274762107757
Orni17499-165,2018-04-29,49.737240120064584,136.17206150732468,16.78472222222222,17.509645061728396,390.64322091670044
Orni17499-165,2018-05-01,51.892862627009016,139.764596278158,88.50694444444444,17.901234567901234,347.99904882679743
Orni17499-165,2018-05-02,56.386465444020395,144.74871953809307,4.930555555555555,19.26697530864196,595.5362532613298
Orni17499-165,2018-05-03,62.951586002009044,151.35598979204684,446.50694444444446,17.378472222222214,817.9122619210605
